,value,metric,type
375,0.0,road_viols,full
376,0.0,road_viols,full
377,109.0,road_viols,full
378,0.0,road_viols,full
379,0.0,road_viols,full
380,1824.0,road_viols,full
381,98.0,road_viols,full
382,0.0,road_viols,full
383,0.0,road_viols,full
384,11.0,road_viols,full
385,1997.0,road_viols,full
386,0.0,road_viols,full
387,0.0,road_viols,full
388,0.0,road_viols,full
389,0.0,road_viols,full
390,0.0,road_viols,full
391,0.0,road_viols,full
392,0.0,road_viols,full
393,1072.0,road_viols,full
394,0.0,road_viols,full
395,279.0,road_viols,full
396,1826.0,road_viols,full
397,0.0,road_viols,full
398,0.0,road_viols,full
399,16.0,road_viols,full
400,1998.0,road_viols,full
401,1.0,road_viols,full
402,1997.0,road_viols,full
403,0.0,road_viols,full
404,0.0,road_viols,full
405,0.0,road_viols,full
406,0.0,road_viols,full
407,0.0,road_viols,full
408,91.0,road_viols,full
409,0.0,road_viols,full
410,273.0,road_viols,full
411,1935.0,road_viols,full
412,0.0,road_viols,full
413,0.0,road_viols,full
414,29.0,road_viols,full
415,1998.0,road_viols,full
416,0.0,road_viols,full
417,1971.0,road_viols,full
418,0.0,road_viols,full
419,0.0,road_viols,full
420,0.0,road_viols,full
421,0.0,road_viols,full
422,0.0,road_viols,full
423,790.0,road_viols,full
424,23.0,road_viols,full
425,1978.0,road_viols,full
426,0.0,road_viols,full
427,0.0,road_viols,full
428,0.0,road_viols,full
429,14.0,road_viols,full
430,1999.0,road_viols,full
431,0.0,road_viols,full
432,0.0,road_viols,full
433,0.0,road_viols,full
434,0.0,road_viols,full
435,0.0,road_viols,full
436,1999.0,road_viols,full
437,1998.0,road_viols,full
438,1970.0,road_viols,full
439,0.0,road_viols,full
440,0.0,road_viols,full
441,3.0,road_viols,full
442,63.0,road_viols,full
443,0.0,road_viols,full
444,7.0,road_viols,full
445,0.0,road_viols,full
446,0.0,road_viols,full
447,0.0,road_viols,full
448,0.0,road_viols,full
449,1933.0,road_viols,full
450,1993.0,road_viols,full
451,0.0,road_viols,full
452,0.0,road_viols,full
453,0.0,road_viols,full
454,161.0,road_viols,full
455,40.0,road_viols,full
456,0.0,road_viols,full
457,10.0,road_viols,full
458,0.0,road_viols,full
459,1999.0,road_viols,full
460,0.0,road_viols,full
461,0.0,road_viols,full
462,530.0,road_viols,full
463,14.0,road_viols,full
464,431.0,road_viols,full
465,1966.0,road_viols,full
466,0.0,road_viols,full
467,1.0,road_viols,full
468,0.0,road_viols,full
469,1334.0,road_viols,full
470,40.0,road_viols,full
471,0.0,road_viols,full
472,39.0,road_viols,full
473,0.0,road_viols,full
474,0.0,road_viols,full
475,0.0,road_viols,full
476,0.0,road_viols,full
477,130.0,road_viols,full
478,9.0,road_viols,full
479,140.0,road_viols,full
480,532.0,road_viols,full
481,0.0,road_viols,full
482,1.0,road_viols,full
483,0.0,road_viols,full
484,1113.0,road_viols,full
485,51.0,road_viols,full
486,9.0,road_viols,full
487,0.0,road_viols,full
488,1999.0,road_viols,full
489,0.0,road_viols,full
490,0.0,road_viols,full
491,32.0,road_viols,full
492,0.0,road_viols,full
493,87.0,road_viols,full
494,31.0,road_viols,full
495,0.0,road_viols,full
496,3.0,road_viols,full
497,0.0,road_viols,full
498,1389.0,road_viols,full
499,16.0,road_viols,full
500,1997.0,road_viols,full
501,1999.0,road_viols,full
502,0.0,road_viols,full
503,0.0,road_viols,full
504,7.0,road_viols,full
505,0.0,road_viols,full
506,702.0,road_viols,full
507,27.0,road_viols,full
508,10.0,road_viols,full
509,112.0,road_viols,full
510,1317.0,road_viols,full
511,10.0,road_viols,full
512,0.0,road_viols,full
513,0.0,road_viols,full
514,1654.0,road_viols,full
515,18.0,road_viols,full
516,1989.0,road_viols,full
517,124.0,road_viols,full
518,0.0,road_viols,full
519,0.0,road_viols,full
520,2.0,road_viols,full
521,0.0,road_viols,full
522,1239.0,road_viols,full
523,19.0,road_viols,full
524,6.0,road_viols,full
525,144.0,road_viols,full
526,395.0,road_viols,full
527,2.0,road_viols,full
528,0.0,road_viols,full
529,0.0,road_viols,full
530,1958.0,road_viols,full
531,22.0,road_viols,full
532,1907.0,road_viols,full
533,42.0,road_viols,full
534,0.0,road_viols,full
535,0.0,road_viols,full
536,1.0,road_viols,full
537,0.0,road_viols,full
538,1365.0,road_viols,full
539,7.0,road_viols,full
540,6.0,road_viols,full
541,525.0,road_viols,full
542,685.0,road_viols,full
543,0.0,road_viols,full
544,47.0,road_viols,full
545,1.0,road_viols,full
546,0.0,road_viols,full
547,1796.0,road_viols,full
548,70.0,road_viols,full
549,44.0,road_viols,full
550,17.0,road_viols,full
551,0.0,road_viols,full
552,0.0,road_viols,full
553,1.0,road_viols,full
554,2.0,road_viols,full
555,198.0,road_viols,full
556,8.0,road_viols,full
557,834.0,road_viols,full
558,884.0,road_viols,full
559,0.0,road_viols,full
560,38.0,road_viols,full
561,78.0,road_viols,full
562,0.0,road_viols,full
563,0.0,road_viols,full
564,2.0,road_viols,full
565,3.0,road_viols,full
566,115.0,road_viols,full
567,5.0,road_viols,full
568,109.0,road_viols,full
569,1910.0,road_viols,full
570,0.0,road_viols,full
571,30.0,road_viols,full
572,0.0,road_viols,full
573,0.0,road_viols,full
574,0.0,road_viols,full
575,2.0,road_viols,full
576,100.0,road_viols,full
577,10.0,road_viols,full
578,67.0,road_viols,full
579,1969.0,road_viols,full
580,0.0,road_viols,full
581,45.0,road_viols,full
582,85.0,road_viols,full
583,0.0,road_viols,full
584,0.0,road_viols,full
585,1.0,road_viols,full
586,2.0,road_viols,full
587,99.0,road_viols,full
588,8.0,road_viols,full
589,64.0,road_viols,full
590,1905.0,road_viols,full
591,0.0,road_viols,full
592,63.0,road_viols,full
593,213.0,road_viols,full
594,1980.0,road_viols,full
595,0.0,road_viols,full
596,0.0,road_viols,full
597,1.0,road_viols,full
598,5.0,road_viols,full
599,30.0,road_viols,full
600,8.0,road_viols,full
601,59.0,road_viols,full
602,1939.0,road_viols,full
603,0.0,road_viols,full
604,27.0,road_viols,full
605,1688.0,road_viols,full
606,1347.0,road_viols,full
607,1944.0,road_viols,full
608,197.0,road_viols,full
609,2.0,road_viols,full
610,41.0,road_viols,full
